epoch,auc_pr,exactitud,loss,precision,recall,val_auc_pr,val_exactitud,val_loss,val_precision,val_recall
0,0.8076974153518677,0.7802391648292542,0.439637690782547,0.6769871711730957,0.8069698810577393,0.9028395414352417,0.8301257491111755,0.37813010811805725,0.7263610363006592,0.8737612962722778
1,0.9424910545349121,0.8966218829154968,0.24742496013641357,0.8503344058990479,0.8833918571472168,0.922883152961731,0.8712684512138367,0.30690935254096985,0.9195418357849121,0.7176863551139832
2,0.9601080417633057,0.920109748840332,0.20129971206188202,0.8846495747566223,0.9083024263381958,0.9377923011779785,0.9054602384567261,0.26400694251060486,0.9088121056556702,0.8298147320747375
3,0.9690836071968079,0.932746171951294,0.17414073646068573,0.9025181531906128,0.9227784276008606,0.9432975649833679,0.9012415409088135,0.26270729303359985,0.9422129988670349,0.7832830548286438
4,0.9749077558517456,0.9402409195899963,0.15577441453933716,0.9129830598831177,0.9315057992935181,0.9491865634918213,0.9126521944999695,0.22947509586811066,0.9087146520614624,0.8513571619987488
5,0.9784830212593079,0.9462087154388428,0.1407114565372467,0.9223499298095703,0.9374199509620667,0.9487239718437195,0.9177950024604797,0.24864590167999268,0.8990957140922546,0.8781775236129761
6,0.9812829494476318,0.9512445330619812,0.12943270802497864,0.9296677708625793,0.9430779218673706,0.9633027911186218,0.9150226712226868,0.24823836982250214,0.966914176940918,0.7995476126670837
7,0.9837318658828735,0.9555191993713379,0.1196146160364151,0.935580849647522,0.9482517838478088,0.9574933648109436,0.9242637157440186,0.23607273399829865,0.9498966336250305,0.8413399457931519
8,0.9855961799621582,0.9590885043144226,0.1108122318983078,0.9404155015945435,0.9526851177215576,0.9537116289138794,0.9111655950546265,0.27665847539901733,0.9529908895492554,0.8013787269592285
9,0.9880384206771851,0.9630736708641052,0.0997517928481102,0.9462202787399292,0.9572770595550537,0.9559316635131836,0.9155450463294983,0.2598187029361725,0.9532946348190308,0.8134424686431885
10,0.988808810710907,0.9646284580230713,0.0945935994386673,0.9481667280197144,0.9594078063964844,0.9566885232925415,0.9167905449867249,0.25896477699279785,0.9617206454277039,0.8091340065002441
