epoch,auc_pr,exactitud,loss,precision,recall,val_auc_pr,val_exactitud,val_loss,val_precision,val_recall
0,0.7238118052482605,0.7382727861404419,0.49665752053260803,0.6218153834342957,0.7958102822303772,0.7579472064971924,0.7329744100570679,0.5016888380050659,0.601508378982544,0.8418784737586975
1,0.7584735155105591,0.7572236657142639,0.46904513239860535,0.6432934999465942,0.8098549246788025,0.7618158459663391,0.7230503559112549,0.5115025043487549,0.5881702303886414,0.8590047359466553
2,0.7579235434532166,0.7596080303192139,0.467500239610672,0.6458746790885925,0.8143566250801086,0.7728962898254395,0.7104744911193848,0.5417407751083374,0.570421576499939,0.906505823135376
3,0.7633035182952881,0.7614505887031555,0.4650510847568512,0.6475268006324768,0.8158681988716125,0.7639704942703247,0.7136887907981873,0.5316077470779419,0.5751602053642273,0.8893795609474182
0,0.8505702614784241,0.8138251304626465,0.4245348274707794,0.7166171669960022,0.8412544131278992,0.9012349843978882,0.8355498313903809,0.3871271312236786,0.742638111114502,0.8556656837463379
1,0.9413292407989502,0.8921887278556824,0.25069358944892883,0.8336524963378906,0.8951176404953003,0.914681077003479,0.8686166405677795,0.32267677783966064,0.8841338753700256,0.7454760670661926
2,0.9557255506515503,0.9102106094360352,0.21461361646652222,0.8611366152763367,0.9105246067047119,0.9193556308746338,0.8766121864318848,0.32935529947280884,0.8824325799942017,0.7720810174942017
3,0.9660166501998901,0.9219708442687988,0.18791699409484863,0.8795760869979858,0.9208270311355591,0.9175577163696289,0.8764916062355042,0.351105272769928,0.8960459232330322,0.7566781640052795
4,0.9702668190002441,0.9276782870292664,0.17407657206058502,0.8873378038406372,0.927524983882904,0.9226127862930298,0.8809514045715332,0.31752830743789673,0.8765637874603271,0.7924386262893677
5,0.9735355377197266,0.9337151050567627,0.16209807991981506,0.897716224193573,0.9319222569465637,0.9239147901535034,0.8766523599624634,0.33007845282554626,0.9055076837539673,0.7473071813583374
6,0.9759124517440796,0.9364050030708313,0.15440697968006134,0.9006970524787903,0.9357938766479492,0.9171623587608337,0.8734380602836609,0.35772210359573364,0.8439883589744568,0.8105342388153076
7,0.9786804914474487,0.9407499432563782,0.1452333778142929,0.9075218439102173,0.9395671486854553,0.9300450086593628,0.8843263983726501,0.33069002628326416,0.9134925603866577,0.76206374168396
8,0.9801257252693176,0.9439662098884583,0.139051616191864,0.9131920337677002,0.9424198269844055,0.9287528991699219,0.8786612749099731,0.36804717779159546,0.9329555034637451,0.7269495725631714
9,0.9811499118804932,0.9460833072662354,0.13393153250217438,0.9153026938438416,0.9454517364501953,0.9290525913238525,0.885330855846405,0.3284686803817749,0.8790379762649536,0.8031021356582642
10,0.982028603553772,0.947824239730835,0.13135875761508942,0.9191493391990662,0.9461988806724548,0.9132853746414185,0.8746434450149536,0.38935941457748413,0.8918128609657288,0.7556010484695435
11,0.9833343029022217,0.9487081170082092,0.12652835249900818,0.9199209213256836,0.9475756287574768,0.9230057597160339,0.8790228366851807,0.3623565435409546,0.9042402505874634,0.7557087540626526
